n,tipo,comp_ins,comp_mrg,t_ins_seg,t_mrg_seg,ganador
10,Aleatoria,21,22,0.00000630,0.00002430,Insertion
10,Ordenada,9,15,0.00000360,0.00002160,Insertion
10,Inversa,45,19,0.00001310,0.00002630,Insertion
20,Aleatoria,116,60,0.00003230,0.00003280,Insertion
20,Ordenada,19,40,0.00000660,0.00004780,Insertion
20,Inversa,190,48,0.00004880,0.00005150,Insertion
50,Aleatoria,652,221,0.00011890,0.00009960,Merge
50,Ordenada,49,133,0.00001440,0.00013280,Insertion
50,Inversa,1225,153,0.00033410,0.00014940,Merge
100,Aleatoria,2825,546,0.00056780,0.00023180,Merge
100,Ordenada,99,316,0.00001640,0.00016640,Insertion
100,Inversa,4950,356,0.00080750,0.00018680,Merge
200,Aleatoria,10498,1272,0.00169280,0.00053630,Merge
200,Ordenada,199,732,0.00003190,0.00038410,Insertion
200,Inversa,19900,813,0.00332850,0.00039050,Merge
500,Aleatoria,63382,3877,0.01144770,0.00147780,Merge
500,Ordenada,499,2216,0.00009800,0.00108310,Insertion
500,Inversa,124750,2282,0.02111610,0.00106190,Merge
1000,Aleatoria,260174,8712,0.04874470,0.00323660,Merge
1000,Ordenada,999,4932,0.00025370,0.00221920,Insertion
1000,Inversa,499499,5068,0.08743590,0.00225490,Merge
2000,Aleatoria,1001729,19387,0.20520140,0.00721270,Merge
2000,Ordenada,1999,10864,0.00044260,0.00496980,Insertion
2000,Inversa,1998994,11171,0.36461620,0.00483050,Merge
3000,Aleatoria,2231160,30906,0.42310880,0.01129280,Merge
3000,Ordenada,2999,16828,0.00067060,0.00732890,Insertion
3000,Inversa,4498438,18198,0.83338080,0.00768070,Merge
