id,familia,n,m,LB,OPT,C_LS,C_LPT,r_LS,r_LPT,dev_LS,dev_LPT,t_LS,t_LPT,t_BB,nodos,LS_optimo,LPT_optimo,OPT_igual_LB,garantia_LS_ok,garantia_LPT_ok
P1-001,uniforme,6,2,26,26,30,26,1.15384615,1,15.3846154,0,2.88916666e-06,3.42777777e-06,8.375817e-06,0,False,True,True,True,True
P1-002,uniforme,6,2,29,29,35,30,1.20689655,1.03448276,20.6896552,3.44827586,2.88514851e-06,3.49021408e-06,2.64394737e-05,11,False,False,True,True,True
P1-003,uniforme,9,2,47,47,47,48,1,1.0212766,0,2.12765957,3.54264264e-06,4.18837921e-06,3.35092593e-05,10,True,False,True,True,True
P1-004,uniforme,9,2,36,36,38,37,1.05555556,1.02777778,5.55555556,2.77777778,3.59427312e-06,4.17354651e-06,2.70438596e-05,10,False,False,True,True,True
P1-005,uniforme,12,2,62,62,62,62,1,1,0,0,4.28085808e-06,4.93443223e-06,1.01390533e-05,0,True,True,True,True,True
P1-006,uniforme,12,2,40,40,43,40,1.075,1,7.5,0,4.21148148e-06,4.88807017e-06,9.99297296e-06,0,False,True,True,True,True
P1-007,uniforme,15,2,96,96,103,96,1.07291667,1,7.29166667,0,4.83796993e-06,5.54390245e-06,1.11125828e-05,0,False,True,True,True,True
P1-008,uniforme,15,2,75,75,79,75,1.05333333,1,5.33333333,0,4.86227758e-06,5.60115831e-06,1.06895954e-05,0,False,True,True,True,True
P1-009,uniforme,6,3,19,19,20,19,1.05263158,1,5.26315789,0,3.35963303e-06,3.87188328e-06,9.02156863e-06,0,False,True,True,True,True
P1-010,uniforme,6,3,20,21,28,21,1.33333333,1,33.3333333,0,3.3530504e-06,3.83540541e-06,1.85338235e-05,6,False,True,False,True,True
P1-011,uniforme,9,3,39,40,41,41,1.025,1.025,2.5,2.5,4.10798817e-06,4.69658385e-06,0.000122707143,65,False,False,False,True,True
P1-012,uniforme,9,3,32,32,34,32,1.0625,1,6.25,0,4.05045872e-06,4.57675841e-06,1.02825243e-05,0,False,True,True,True,True
P1-013,uniforme,12,3,42,42,44,42,1.04761905,1,4.76190476,0,4.8084e-06,5.38520712e-06,1.1095283e-05,0,False,True,True,True,True
P1-014,uniforme,12,3,41,41,42,43,1.02439024,1.04878049,2.43902439,4.87804878,4.73571427e-06,5.34212455e-06,5.02633333e-05,21,False,False,True,True,True
P1-015,uniforme,15,3,54,54,59,54,1.09259259,1,9.25925926,0,5.50630252e-06,6.28558952e-06,1.19303797e-05,0,False,True,True,True,True
P1-016,uniforme,15,3,50,50,52,51,1.04,1.02,4,2,5.5272e-06,6.27509881e-06,4.21971429e-05,16,False,False,True,True,True
P1-017,uniforme,6,4,17,17,23,17,1.35294118,1,35.2941176,0,3.70504732e-06,4.14845938e-06,9.52184465e-06,0,False,True,True,True,True
P1-018,uniforme,6,4,17,18,22,18,1.22222222,1,22.2222222,0,3.69347828e-06,4.23195266e-06,1.97287879e-05,6,False,True,False,True,True
P1-019,uniforme,9,4,21,22,26,22,1.18181818,1,18.1818182,0,4.38333334e-06,5.01320132e-06,1.87736842e-05,5,False,True,False,True,True
P1-020,uniforme,9,4,22,22,26,22,1.18181818,1,18.1818182,0,4.4171141e-06,8.16196318e-06,1.03675926e-05,0,False,True,True,True,True
P1-021,uniforme,12,4,34,34,38,36,1.11764706,1.05882353,11.7647059,5.88235294,5.11977185e-06,5.77070313e-06,3.9825641e-05,13,False,False,True,True,True
P1-022,uniforme,12,4,24,25,26,25,1.04,1,4,0,5.1672e-06,5.8976e-06,3.26551724e-05,12,False,True,False,True,True
P1-023,uniforme,15,4,51,51,54,54,1.05882353,1.05882353,5.88235294,5.88235294,5.9060241e-06,6.67161572e-06,0.0065572,3412,False,False,True,True,True
P1-024,uniforme,15,4,46,46,54,47,1.17391304,1.02173913,17.3913043,2.17391304,5.9607306e-06,6.52638297e-06,4.96444444e-05,16,False,False,True,True,True
P1-025,estrecha,6,2,44,45,48,45,1.06666667,1,6.66666667,0,2.93342175e-06,3.43903061e-06,2.81098039e-05,13,False,True,False,True,True
P1-026,estrecha,6,2,51,51,52,51,1.01960784,1,1.96078431,0,2.91923077e-06,3.41267281e-06,8.26943232e-06,0,False,True,True,True,True
P1-027,estrecha,9,2,68,68,71,73,1.04411765,1.07352941,4.41176471,7.35294118,3.58798799e-06,4.18776759e-06,9.48999999e-05,54,False,False,True,True,True
P1-028,estrecha,9,2,75,75,77,79,1.02666667,1.05333333,2.66666667,5.33333333,3.55495495e-06,4.15885714e-06,2.6662963e-05,10,False,False,True,True,True
P1-029,estrecha,12,2,91,91,95,91,1.04395604,1,4.3956044,0,4.81270358e-06,4.91422414e-06,1.01184874e-05,0,False,True,True,True,True
P1-030,estrecha,12,2,100,100,100,100,1,1,0,0,4.24526316e-06,4.92475248e-06,1.00312884e-05,0,True,True,True,True,True
