m,n,rep,semilla,LB,OPT,C_LPT,nodos,tiempo_s,estado
4,10,0,2027000,36,38,41,304,0.0007963999996718485,ok
4,10,1,2027001,35,38,40,278,0.0005816000011691358,ok
4,10,2,2027002,39,40,43,150,0.0003187000002071727,ok
4,10,3,2027003,37,38,42,135,0.0002898999991884921,ok
4,10,4,2027004,41,44,46,263,0.0005390000005718321,ok
4,10,5,2027005,33,33,38,43,0.00011860000086016953,ok
4,11,0,2027010,41,42,44,317,0.0006453999994846527,ok
4,11,1,2027011,46,48,50,289,0.0005817999990540557,ok
4,11,2,2027012,44,45,47,283,0.0006949999988137279,ok
4,11,3,2027013,38,38,40,66,0.00015799999891896732,ok
4,11,4,2027014,47,50,51,167,0.0003431999975873623,ok
4,11,5,2027015,45,47,48,343,0.0006947999972908292,ok
4,12,0,2027020,45,45,45,0,2.7899997803615406e-05,ok
4,12,1,2027021,44,44,44,0,3.189999915775843e-05,ok
4,12,2,2027022,45,45,45,0,2.6599998818710446e-05,ok
4,12,3,2027023,47,47,47,0,2.4500001018168405e-05,ok
4,12,4,2027024,47,47,47,0,2.7400001272326335e-05,ok
4,12,5,2027025,45,45,45,0,2.5800000003073364e-05,ok
4,13,0,2027030,49,49,55,535,0.0011000000013154931,ok
4,13,1,2027031,53,53,59,57,0.00020109999968553893,ok
4,13,2,2027032,52,52,59,416,0.0008654999983264133,ok
4,13,3,2027033,47,47,53,588,0.0011886000029335264,ok
4,13,4,2027034,51,52,58,3054,0.006692499999189749,ok
4,13,5,2027035,48,48,53,439,0.0010131999988516327,ok
4,14,0,2027040,55,55,59,72,0.00018940000154543668,ok
4,14,1,2027041,51,51,55,407,0.0008892000005289447,ok
4,14,2,2027042,49,49,54,106,0.00024539999867556617,ok
4,14,3,2027043,48,48,53,1032,0.002053399999567773,ok
4,14,4,2027044,56,56,61,161,0.00035229999775765464,ok
4,14,5,2027045,55,55,60,44,0.00017490000027464703,ok
4,15,0,2027050,61,61,64,246,0.0005125999996380415,ok
4,15,1,2027051,62,63,65,24698,0.049215799997909926,ok
4,15,2,2027052,57,57,60,29,0.0001176999976451043,ok
4,15,3,2027053,55,55,58,685,0.0014135999990685377,ok
4,15,4,2027054,59,59,62,2837,0.005622200002108002,ok
4,15,5,2027055,55,55,58,1033,0.0020667999997385778,ok
4,16,0,2027060,54,54,55,671,0.0013409000021056272,ok
4,16,1,2027061,59,59,59,0,3.300000025774352e-05,ok
4,16,2,2027062,56,56,56,0,6.7299999500392e-05,ok
4,16,3,2027063,63,63,63,0,8.030000026337802e-05,ok
4,16,4,2027064,62,62,62,0,3.0699997296324e-05,ok
4,16,5,2027065,56,56,56,0,2.7599999157246202e-05,ok
4,17,0,2027070,65,65,71,31490,0.06359840000004624,ok
4,17,1,2027071,58,58,65,183,0.0004288000018277671,ok
4,17,2,2027072,59,59,66,36613,0.07842420000088168,ok
4,17,3,2027073,69,69,76,79,0.00023990000045159832,ok
4,17,4,2027074,60,60,66,32406,0.06395870000051218,ok
4,17,5,2027075,55,55,62,61562,0.12408589999904507,ok
4,18,0,2027080,63,63,68,114777,0.2316711999992549,ok
4,18,1,2027081,69,69,74,12744,0.02537049999955343,ok
4,18,2,2027082,60,60,64,109557,0.22026519999781158,ok
4,18,3,2027083,66,66,70,25212,0.049007799996616086,ok
4,18,4,2027084,66,66,70,75248,0.14761360000193235,ok
4,18,5,2027085,69,69,74,786,0.001725300000543939,ok
4,19,0,2027090,78,78,81,1281,0.002531699999963166,ok
4,19,1,2027091,70,70,73,280,0.0006768999992345925,ok
4,19,2,2027092,71,71,73,24894,0.048995500001183245,ok
4,19,3,2027093,74,74,76,9321,0.01822320000064792,ok
4,19,4,2027094,70,70,72,28,0.00010130000009667128,ok
4,19,5,2027095,73,73,76,46,0.0001373999984934926,ok
4,20,0,2027100,76,76,76,0,3.409999771974981e-05,ok
4,20,1,2027101,73,73,73,0,3.239999932702631e-05,ok
4,20,2,2027102,78,78,78,0,2.9800001357216388e-05,ok
4,20,3,2027103,71,71,71,0,3.130000186502002e-05,ok
4,20,4,2027104,75,75,75,0,3.199999991920777e-05,ok
4,20,5,2027105,76,76,76,0,3.0399998649954796e-05,ok
4,21,0,2027110,78,78,85,6937,0.015701399999670684,ok
4,21,1,2027111,80,80,86,202,0.0008291000012832228,ok
4,21,2,2027112,82,82,89,462402,0.8974696000004769,ok
4,21,3,2027113,82,82,89,648801,1.2715005000027304,ok
4,21,4,2027114,82,82,89,373949,0.7500431000007666,ok
4,21,5,2027115,76,76,82,146,0.00034950000190292485,ok
4,22,0,2027120,90,90,94,517,0.0010402000007161405,ok
4,22,1,2027121,88,88,92,241605,0.48010680000152206,ok
4,22,2,2027122,83,,88,1000001,1.939734799998405,abortada
4,22,3,2027123,75,75,79,33291,0.06377950000023702,ok
4,22,4,2027124,81,,86,1000001,1.9196499999998196,abortada
4,22,5,2027125,82,,87,1000001,2.1555661000020336,abortada
4,23,0,2027130,82,,84,1000001,2.0271625999994285,abortada
4,23,1,2027131,83,,86,1000001,1.9788236000022152,abortada
4,23,2,2027132,84,,86,1000001,2.038836400002765,abortada
4,23,3,2027133,95,95,98,157697,0.30655710000064573,ok
4,23,4,2027134,92,92,94,87,0.0002491999985068105,ok
4,23,5,2027135,98,98,100,2206,0.004578100000799168,ok
4,24,0,2027140,93,93,93,0,5.109999983687885e-05,ok
4,24,1,2027141,90,90,90,0,3.7500001781154424e-05,ok
4,24,2,2027142,90,90,90,0,3.550000110408291e-05,ok
4,24,3,2027143,88,88,88,0,3.49000001733657e-05,ok
4,24,4,2027144,86,86,86,0,3.2199997804127634e-05,ok
4,24,5,2027145,93,93,93,0,3.1600000511389226e-05,ok
