grupo,alg,instancias,veces optimo,r promedio,r mediana,r maxima,desv. prom. %,garantia,violaciones
aleatorias m=2,LS,24,6 (25 %),1.0690,1.0426,1.3333,6.90,1.500,0
aleatorias m=2,LPT,24,17 (71 %),1.0116,1.0000,1.0735,1.16,1.167,0
aleatorias m=3,LS,24,1 (4 %),1.1289,1.0808,1.3333,12.89,1.667,0
aleatorias m=3,LPT,24,19 (79 %),1.0052,1.0000,1.0488,0.52,1.222,0
aleatorias m=4,LS,24,3 (12 %),1.1158,1.1013,1.3529,11.58,1.750,0
aleatorias m=4,LPT,24,17 (71 %),1.0188,1.0000,1.1212,1.88,1.250,0
aleatorias (todas),LS,72,10 (14 %),1.1046,1.0613,1.3529,10.46,1.500 - 1.750,0
aleatorias (todas),LPT,72,53 (74 %),1.0119,1.0000,1.1212,1.19,1.167 - 1.250,0
ajustadas,LS,6,0 (0 %),1.4259,1.3750,1.7500,42.59,1.500 - 1.750,0
ajustadas,LPT,6,3 (50 %),1.1065,1.0833,1.2500,10.65,1.167 - 1.250,0
