n,m,n_sobre_m,t_LS,t_LPT,t_extra,sobrecosto_pct,peso_ordenamiento,mejora_unidades,mejora_pct
100,4,25.0,30.6 us,34.1 us,3.6 us,+12 %,10 %,25,1.979 %
100,16,6.2,40.2 us,45.4 us,5.2 us,+13 %,7 %,45,12.570 %
100,64,1.6,67.2 us,68.0 us,0.8 us,+1 %,5 %,35.5,26.199 %
1000,4,250.0,292.4 us,356.6 us,64.2 us,+22 %,15 %,29.5,0.228 %
1000,16,62.5,429.0 us,822.9 us,393.9 us,+92 %,6 %,47.5,1.453 %
1000,64,15.6,483.9 us,632.3 us,148.4 us,+31 %,8 %,54,6.272 %
10000,4,2500.0,3.11 ms,4.41 ms,1.30 ms,+42 %,33 %,28,0.022 %
10000,16,625.0,3.89 ms,5.42 ms,1.53 ms,+39 %,27 %,45,0.143 %
10000,64,156.2,5.07 ms,6.57 ms,1.50 ms,+30 %,22 %,55.5,0.702 %
100000,4,25000.0,27.91 ms,41.87 ms,13.96 ms,+50 %,36 %,26,0.002 %
100000,16,6250.0,37.89 ms,53.13 ms,15.24 ms,+40 %,28 %,48,0.015 %
100000,64,1562.5,48.61 ms,64.27 ms,15.66 ms,+32 %,23 %,56,0.071 %
