n,m,LB,C_original,C_LPT,C_perm_min,C_perm_mediana,C_perm_max,q_original,q_LPT,q_perm_min,q_perm_mediana,q_perm_max,rango_perm_pct,t_LS,t_LPT,t_orden,sobrecosto_LPT_pct,mejora_LPT_pct
100,4,1238,1254,1238,1252,1263,1302,1.01292407,1,1.01130856,1.02019386,1.05169628,4.03877221,3.05541666e-05,3.41282051e-05,3.294e-06,11.6973849,1.97941409
100,16,310,346,313,339,358,381,1.11612903,1.00967742,1.09354839,1.15483871,1.22903226,13.5483871,4.02000001e-05,4.54285714e-05,3.294e-06,13.0063964,12.5698324
100,64,100,128,100,112,135.5,143,1.28,1,1.12,1.355,1.43,31,6.71928571e-05,6.7975e-05,3.294e-06,1.16402676,26.199262
1000,4,12885,12899,12885,12888,12914.5,12936,1.00108653,1,1.00023283,1.00228948,1.00395809,0.372526193,0.000292383333,0.00035655,5.18e-05,21.9460754,0.228425413
1000,16,3222,3263,3222,3248,3269.5,3288,1.01272502,1,1.00806952,1.0147424,1.02048417,1.24146493,0.000428975,0.000822850001,5.18e-05,91.817705,1.45282153
1000,64,806,856,807,852,861,871,1.06203474,1.00124069,1.05707196,1.06823821,1.08064516,2.3573201,0.000483866666,0.0006323,5.18e-05,30.6764951,6.271777
10000,4,125679,125697,125679,125688,125707,125733,1.00014322,1,1.00007161,1.00022279,1.00042967,0.0358055045,0.0031098,0.0044124,0.0014396,41.8869381,0.0222740182
10000,16,31420,31471,31420,31450,31465,31480,1.00162317,1,1.00095481,1.00143221,1.00190961,0.0954805856,0.003888,0.0054208,0.0014396,39.4238682,0.14301605
10000,64,7855,7919,7855,7899,7910.5,7919,1.00814768,1,1.00560153,1.00706556,1.00814768,0.254614895,0.0050693,0.0065657,0.0014396,29.5188685,0.70159914
100000,4,1261601,1261619,1261601,1261608,1261627,1261658,1.00001427,1,1.00000555,1.00002061,1.00004518,0.00396321816,0.0279131,0.0418731,0.0149672,50.0123598,0.00206083097
100000,16,315401,315446,315401,315430,315449,315461,1.00014268,1,1.00009195,1.00015219,1.00019023,0.00982875768,0.0378884,0.0531292,0.0149672,40.2255044,0.0152164058
100000,64,78851,78903,78851,78891,78907,78915,1.00065947,1,1.00050729,1.0007102,1.00081166,0.0304371536,0.0486142,0.0642703,0.0149672,32.2047879,0.0709696225
