n,m,permutacion,makespan
100,4,1,1301
100,4,2,1283
100,4,3,1259
100,4,4,1276
100,4,5,1258
100,4,6,1285
100,4,7,1259
100,4,8,1256
100,4,9,1276
100,4,10,1288
100,4,11,1252
100,4,12,1252
100,4,13,1258
100,4,14,1284
100,4,15,1282
100,4,16,1259
100,4,17,1272
100,4,18,1257
100,4,19,1254
100,4,20,1266
100,4,21,1284
100,4,22,1254
100,4,23,1253
100,4,24,1260
100,4,25,1302
100,4,26,1270
100,4,27,1273
100,4,28,1273
100,4,29,1256
100,4,30,1260
100,16,1,374
100,16,2,378
100,16,3,345
100,16,4,357
100,16,5,342
100,16,6,377
100,16,7,350
100,16,8,342
100,16,9,349
100,16,10,361
100,16,11,344
100,16,12,339
100,16,13,370
100,16,14,369
100,16,15,368
100,16,16,350
100,16,17,370
100,16,18,353
100,16,19,365
100,16,20,359
100,16,21,381
100,16,22,344
100,16,23,367
100,16,24,352
100,16,25,373
100,16,26,357
100,16,27,359
100,16,28,362
100,16,29,355
100,16,30,353
100,64,1,141
100,64,2,140
100,64,3,125
100,64,4,123
100,64,5,122
100,64,6,139
100,64,7,136
100,64,8,135
100,64,9,112
100,64,10,136
100,64,11,135
100,64,12,126
100,64,13,143
100,64,14,132
100,64,15,139
100,64,16,129
100,64,17,142
100,64,18,140
100,64,19,139
100,64,20,131
100,64,21,142
100,64,22,119
100,64,23,138
100,64,24,138
100,64,25,142
100,64,26,135
100,64,27,129
100,64,28,133
100,64,29,138
100,64,30,123
1000,4,1,12905
1000,4,2,12909
1000,4,3,12936
1000,4,4,12926
1000,4,5,12931
1000,4,6,12928
1000,4,7,12917
1000,4,8,12908
1000,4,9,12927
1000,4,10,12906
1000,4,11,12911
1000,4,12,12911
1000,4,13,12899
1000,4,14,12912
1000,4,15,12936
1000,4,16,12912
1000,4,17,12912
1000,4,18,12888
1000,4,19,12912
1000,4,20,12919
1000,4,21,12910
1000,4,22,12909
1000,4,23,12934
1000,4,24,12917
1000,4,25,12917
1000,4,26,12920
1000,4,27,12936
1000,4,28,12903
1000,4,29,12932
1000,4,30,12928
1000,16,1,3269
1000,16,2,3253
1000,16,3,3274
1000,16,4,3279
1000,16,5,3288
1000,16,6,3260
1000,16,7,3259
1000,16,8,3251
1000,16,9,3277
1000,16,10,3264
1000,16,11,3268
1000,16,12,3263
1000,16,13,3251
1000,16,14,3258
1000,16,15,3277
1000,16,16,3260
1000,16,17,3277
1000,16,18,3255
1000,16,19,3270
1000,16,20,3270
1000,16,21,3265
1000,16,22,3274
1000,16,23,3287
1000,16,24,3280
1000,16,25,3257
1000,16,26,3270
1000,16,27,3282
1000,16,28,3248
1000,16,29,3275
1000,16,30,3279
1000,64,1,856
1000,64,2,857
1000,64,3,860
1000,64,4,866
1000,64,5,868
1000,64,6,867
1000,64,7,858
1000,64,8,855
1000,64,9,868
1000,64,10,866
1000,64,11,861
1000,64,12,862
1000,64,13,859
1000,64,14,860
1000,64,15,863
1000,64,16,859
1000,64,17,864
1000,64,18,852
1000,64,19,856
1000,64,20,864
1000,64,21,866
1000,64,22,864
1000,64,23,871
1000,64,24,861
1000,64,25,862
1000,64,26,857
1000,64,27,866
1000,64,28,857
1000,64,29,857
1000,64,30,861
10000,4,1,125721
10000,4,2,125707
10000,4,3,125733
10000,4,4,125705
10000,4,5,125708
10000,4,6,125692
10000,4,7,125725
10000,4,8,125706
10000,4,9,125700
10000,4,10,125688
10000,4,11,125723
10000,4,12,125714
10000,4,13,125721
10000,4,14,125701
10000,4,15,125718
10000,4,16,125699
10000,4,17,125689
10000,4,18,125727
10000,4,19,125723
10000,4,20,125728
10000,4,21,125712
10000,4,22,125716
10000,4,23,125707
10000,4,24,125690
10000,4,25,125695
10000,4,26,125692
10000,4,27,125707
10000,4,28,125707
10000,4,29,125704
10000,4,30,125717
10000,16,1,31452
10000,16,2,31457
10000,16,3,31474
10000,16,4,31464
10000,16,5,31454
10000,16,6,31470
10000,16,7,31470
10000,16,8,31466
10000,16,9,31456
10000,16,10,31457
10000,16,11,31472
10000,16,12,31471
10000,16,13,31467
10000,16,14,31458
10000,16,15,31473
10000,16,16,31465
10000,16,17,31450
10000,16,18,31465
10000,16,19,31464
10000,16,20,31468
10000,16,21,31463
10000,16,22,31477
10000,16,23,31461
10000,16,24,31470
10000,16,25,31464
10000,16,26,31468
10000,16,27,31457
10000,16,28,31469
10000,16,29,31460
10000,16,30,31480
10000,64,1,7899
10000,64,2,7909
10000,64,3,7910
10000,64,4,7915
10000,64,5,7903
10000,64,6,7915
10000,64,7,7912
10000,64,8,7918
10000,64,9,7905
10000,64,10,7908
10000,64,11,7910
10000,64,12,7913
10000,64,13,7916
10000,64,14,7908
10000,64,15,7919
10000,64,16,7918
10000,64,17,7908
10000,64,18,7901
10000,64,19,7913
10000,64,20,7915
10000,64,21,7912
10000,64,22,7917
10000,64,23,7911
10000,64,24,7910
10000,64,25,7908
10000,64,26,7907
10000,64,27,7918
10000,64,28,7908
10000,64,29,7910
10000,64,30,7918
100000,4,1,1261629
100000,4,2,1261658
100000,4,3,1261625
100000,4,4,1261626
100000,4,5,1261635
100000,4,6,1261623
100000,4,7,1261628
100000,4,8,1261645
100000,4,9,1261610
100000,4,10,1261628
100000,4,11,1261638
100000,4,12,1261626
100000,4,13,1261615
100000,4,14,1261630
100000,4,15,1261614
100000,4,16,1261636
100000,4,17,1261622
100000,4,18,1261617
