Instancia,N_Objetos,Capacidad_W,Epsilon,Inv_Epsilon,OPT,ALG_Eps,Razon_Calidad,Cota_Teorica,Peso_Usado,Garantia_Cumplida,Estados_Procesados,Tiempo_ms
Inst_01,10,153,0.5,2.0,566,566,1.0,283.0,139,SI,1892,0.347
Inst_01,10,153,0.25,4.0,566,566,1.0,424.5,139,SI,3839,0.646
Inst_01,10,153,0.1,10.0,566,566,1.0,509.4,139,SI,9658,1.665
Inst_01,10,153,0.05,20.0,566,566,1.0,537.7,139,SI,19360,3.265
Inst_02,10,119,0.5,2.0,181,181,1.0,90.5,118,SI,1199,0.242
Inst_02,10,119,0.25,4.0,181,181,1.0,135.75,118,SI,2420,0.417
Inst_02,10,119,0.1,10.0,181,181,1.0,162.9,118,SI,6116,1.061
Inst_02,10,119,0.05,20.0,181,181,1.0,171.95,118,SI,12265,2.162
Inst_03,14,214,0.5,2.0,494,494,1.0,247.0,214,SI,4680,0.843
Inst_03,14,214,0.25,4.0,494,494,1.0,370.5,214,SI,9450,1.715
Inst_03,14,214,0.1,10.0,494,494,1.0,444.6,214,SI,23730,4.725
Inst_03,14,214,0.05,20.0,494,494,1.0,469.3,214,SI,47520,8.923
Inst_04,16,282,0.5,2.0,654,654,1.0,327.0,282,SI,5865,1.092
Inst_04,16,282,0.25,4.0,654,654,1.0,490.5,282,SI,11883,2.211
Inst_04,16,282,0.1,10.0,654,654,1.0,588.6,282,SI,29869,5.626
Inst_04,16,282,0.05,20.0,654,654,1.0,621.3,282,SI,59840,11.486
Inst_05,14,198,0.5,2.0,707,707,1.0,353.5,191,SI,4035,0.716
Inst_05,14,198,0.25,4.0,707,707,1.0,530.25,191,SI,8175,1.498
Inst_05,14,198,0.1,10.0,707,707,1.0,636.3,191,SI,20550,3.855
Inst_05,14,198,0.05,20.0,707,707,1.0,671.65,191,SI,41145,7.4
Inst_06,12,207,0.5,2.0,352,352,1.0,176.0,207,SI,2405,0.435
Inst_06,12,207,0.25,4.0,352,352,1.0,264.0,207,SI,4849,0.853
Inst_06,12,207,0.1,10.0,352,352,1.0,316.8,207,SI,12207,2.152
Inst_06,12,207,0.05,20.0,352,352,1.0,334.4,207,SI,24479,4.404
Inst_07,16,171,0.5,2.0,451,450,0.9978,225.5,170,SI,7106,1.275
Inst_07,16,171,0.25,4.0,451,451,1.0,338.25,171,SI,14297,2.6
Inst_07,16,171,0.1,10.0,451,451,1.0,405.9,171,SI,35887,6.884
Inst_07,16,171,0.05,20.0,451,451,1.0,428.45,171,SI,71944,13.221
Inst_08,13,308,0.5,2.0,701,701,1.0,350.5,308,SI,2772,0.548
Inst_08,13,308,0.25,4.0,701,701,1.0,525.75,308,SI,5628,1.046
Inst_08,13,308,0.1,10.0,701,701,1.0,630.9,308,SI,14210,2.8
Inst_08,13,308,0.05,20.0,701,701,1.0,665.95,308,SI,28490,7.253
Inst_09,16,224,0.5,2.0,742,742,1.0,371.0,224,SI,5049,0.909
Inst_09,16,224,0.25,4.0,742,742,1.0,556.5,224,SI,10166,1.784
Inst_09,16,224,0.1,10.0,742,742,1.0,667.8,224,SI,25568,4.533
Inst_09,16,224,0.05,20.0,742,742,1.0,704.9,224,SI,51238,10.031
Inst_10,10,147,0.5,2.0,226,223,0.9867,113.0,142,SI,1122,0.244
Inst_10,10,147,0.25,4.0,226,226,1.0,169.5,147,SI,2288,0.393
Inst_10,10,147,0.1,10.0,226,226,1.0,203.4,147,SI,5742,0.963
Inst_10,10,147,0.05,20.0,226,226,1.0,214.7,147,SI,11528,1.887
Inst_11,12,152,0.5,2.0,397,395,0.995,198.5,150,SI,2769,0.471
Inst_11,12,152,0.25,4.0,397,397,1.0,297.75,152,SI,5577,0.946
Inst_11,12,152,0.1,10.0,397,397,1.0,357.3,152,SI,13988,2.466
Inst_11,12,152,0.05,20.0,397,397,1.0,377.15,152,SI,28054,4.776
Inst_12,16,285,0.5,2.0,639,638,0.9984,319.5,284,SI,5627,1.036
Inst_12,16,285,0.25,4.0,639,638,0.9984,479.25,284,SI,11373,2.042
Inst_12,16,285,0.1,10.0,639,639,1.0,575.1,285,SI,28662,9.0
Inst_12,16,285,0.05,20.0,639,639,1.0,607.05,285,SI,57426,10.854
Inst_13,13,155,0.5,2.0,469,469,1.0,234.5,151,SI,2366,0.477
Inst_13,13,155,0.25,4.0,469,469,1.0,351.75,151,SI,4830,0.922
Inst_13,13,155,0.1,10.0,469,469,1.0,422.1,151,SI,12194,2.325
Inst_13,13,155,0.05,20.0,469,469,1.0,445.55,151,SI,24472,4.874
Inst_14,11,169,0.5,2.0,237,237,1.0,118.5,164,SI,1572,0.335
Inst_14,11,169,0.25,4.0,237,237,1.0,177.75,164,SI,3240,0.614
Inst_14,11,169,0.1,10.0,237,237,1.0,213.3,164,SI,8208,1.623
Inst_14,11,169,0.05,20.0,237,237,1.0,225.15,164,SI,16476,3.493
