ID_Grafo,Familia,V,E,OPT,M_Promedio,C_Promedio,Razon_Promedio,Peor_Razon,Veces_Optimo,Total_Ordenes,Tiempo_Exacto_ms,Tiempo_Aprox_ms
Camino_P4,Camino,4,3,2,1.65,3.3,1.65,2.0,7,20,0.0226,0.0027
Camino_P5,Camino,5,4,2,2.0,4.0,2.0,2.0,0,20,0.0194,0.0031
Camino_P6,Camino,6,5,3,2.55,5.1,1.7,2.0,0,20,0.0351,0.0029
Camino_P8,Camino,8,7,4,3.45,6.9,1.725,2.0,0,20,0.1186,0.0041
Camino_P10,Camino,10,9,5,4.25,8.5,1.7,2.0,0,20,0.5053,0.0041
Camino_P12,Camino,12,11,6,5.0,10.0,1.667,2.0,0,20,2.1968,0.0047
Ciclo_C4,Ciclo,4,4,2,2.0,4.0,2.0,2.0,0,20,0.0111,0.0022
Ciclo_C5,Ciclo,5,5,3,2.0,4.0,1.333,1.333,0,20,0.0218,0.0026
Ciclo_C6,Ciclo,6,6,3,2.75,5.5,1.833,2.0,0,20,0.031,0.0031
Ciclo_C8,Ciclo,8,8,4,3.6,7.2,1.8,2.0,0,20,0.1264,0.0037
Ciclo_C10,Ciclo,10,10,5,4.45,8.9,1.78,2.0,0,20,0.5123,0.0043
Ciclo_C12,Ciclo,12,12,6,5.3,10.6,1.767,2.0,0,20,2.2349,0.0065
Estrella_K1_4,Estrella,5,4,1,1.0,2.0,2.0,2.0,0,20,0.0098,0.004
Estrella_K1_6,Estrella,7,6,1,1.0,2.0,2.0,2.0,0,20,0.0202,0.0024
Estrella_K1_8,Estrella,9,8,1,1.0,2.0,2.0,2.0,0,20,0.0069,0.003
Estrella_K1_10,Estrella,11,10,1,1.0,2.0,2.0,2.0,0,20,0.0068,0.0031
Estrella_K1_12,Estrella,13,12,1,1.0,2.0,2.0,2.0,0,20,0.0059,0.0031
Completo_K4,Completo,4,6,3,2.0,4.0,1.333,1.333,0,20,0.0163,0.003
Completo_K5,Completo,5,10,4,2.0,4.0,1.0,1.0,20,20,0.034,0.0033
Completo_K6,Completo,6,15,5,3.0,6.0,1.2,1.2,0,20,0.0707,0.0042
Completo_K7,Completo,7,21,6,3.0,6.0,1.0,1.0,20,20,0.1548,0.0054
Completo_K8,Completo,8,28,7,4.0,8.0,1.143,1.143,0,20,0.3373,0.0061
Aleatorio_G6_p30,Aleatorio,6,4,2,2.0,4.0,2.0,2.0,0,20,0.0196,0.0024
Aleatorio_G7_p40,Aleatorio,7,6,3,2.4,4.8,1.6,2.0,0,20,0.0464,0.0029
Aleatorio_G8_p25,Aleatorio,8,7,3,2.85,5.7,1.9,2.0,0,20,0.0497,0.0032
Aleatorio_G8_p50,Aleatorio,8,14,5,3.4,6.8,1.36,1.6,0,20,0.2151,0.0056
Aleatorio_G9_p35,Aleatorio,9,9,4,3.25,6.5,1.625,2.0,2,20,0.2407,0.0038
Aleatorio_G10_p30,Aleatorio,10,11,4,4.0,8.0,2.0,2.0,0,20,0.222,0.0043
Aleatorio_G11_p25,Aleatorio,11,11,5,4.35,8.7,1.74,2.0,0,20,0.8244,0.0045
Aleatorio_G12_p20,Aleatorio,12,11,5,4.25,8.5,1.7,2.0,0,20,0.9123,0.0043
